Time, Location, On Reward, Lap Number, TTL Number
1752135837943, 235.743791600159, false, 1, 299
1752135837964, 235.743791600159, false, 1, 300
1752135837984, 235.743791600159, false, 1, 301
1752135838004, 235.743791600159, false, 1, 302
1752135838023, 235.743791600159, false, 1, 303
1752135838044, 235.743791600159, false, 1, 304
1752135838063, 235.743791600159, false, 1, 305
1752135838083, 235.743791600159, false, 1, 306
1752135838104, 235.743791600159, false, 1, 307
1752135838123, 235.743791600159, false, 1, 308
1752135838143, 235.743791600159, false, 1, 309
1752135838164, 235.743791600159, false, 1, 310
1752135838184, 235.743791600159, false, 1, 311
1752135838204, 235.743791600159, false, 1, 312
1752135838223, 235.743791600159, false, 1, 313
1752135838244, 235.743791600159, false, 1, 314
1752135838264, 235.743791600159, false, 1, 315
1752135838283, 235.743791600159, false, 1, 316
1752135838304, 235.743791600159, false, 1, 317
1752135838324, 235.743791600159, false, 1, 318
1752135838344, 235.743791600159, false, 1, 319
1752135838364, 235.743791600159, false, 1, 320
1752135838383, 235.743791600159, false, 1, 321
1752135838404, 235.743791600159, false, 1, 322
1752135838424, 235.743791600159, false, 1, 323
1752135838443, 235.743791600159, false, 1, 324
1752135838463, 235.743791600159, false, 1, 325
1752135838483, 235.743791600159, false, 1, 326
1752135838503, 235.743791600159, false, 1, 327
1752135838524, 235.743791600159, false, 1, 328
1752135838544, 235.743791600159, false, 1, 329
1752135838564, 235.743791600159, false, 1, 330
1752135838583, 235.743791600159, false, 1, 331
1752135838603, 235.743791600159, false, 1, 332
1752135838623, 235.743791600159, false, 1, 333
1752135838643, 235.743791600159, false, 1, 334
1752135838663, 235.743791600159, false, 1, 335
1752135838683, 235.743791600159, false, 1, 336
1752135838703, 235.743791600159, false, 1, 337
1752135838723, 235.743791600159, false, 1, 338
1752135838744, 235.743791600159, false, 1, 339
1752135838764, 235.743791600159, false, 1, 340
1752135838783, 235.743791600159, false, 1, 341
1752135838803, 235.743791600159, false, 1, 342
1752135838823, 235.743791600159, false, 1, 343
1752135838844, 235.743791600159, false, 1, 344
1752135838864, 235.743791600159, false, 1, 345
1752135838884, 235.743791600159, false, 1, 346
1752135838904, 235.743791600159, false, 1, 347
1752135838924, 235.743791600159, false, 1, 348
1752135838944, 235.743791600159, false, 1, 349
1752135838964, 235.743791600159, false, 1, 350
1752135838984, 235.743791600159, false, 1, 351
1752135839004, 235.743791600159, false, 1, 352
1752135839023, 235.743791600159, false, 1, 353
1752135839043, 235.743791600159, false, 1, 354
1752135839063, 235.743791600159, false, 1, 355
1752135839083, 235.743791600159, false, 1, 356
1752135839104, 235.743791600159, false, 1, 357
1752135839123, 235.743791600159, false, 1, 358
1752135839144, 235.743791600159, false, 1, 359
1752135839164, 235.743791600159, false, 1, 360
1752135839183, 235.743791600159, false, 1, 361
1752135839204, 235.743791600159, false, 1, 362
1752135839224, 235.743791600159, false, 1, 363
1752135839244, 235.743791600159, false, 1, 364
1752135839264, 235.743791600159, false, 1, 365
1752135839283, 235.743791600159, false, 1, 366
1752135839303, 235.743791600159, false, 1, 367
1752135839324, 235.743791600159, false, 1, 368
1752135839343, 235.743791600159, false, 1, 369
1752135839364, 235.743791600159, false, 1, 370
1752135839383, 235.743791600159, false, 1, 371
1752135839404, 235.743791600159, false, 1, 372
1752135839424, 235.743791600159, false, 1, 373
1752135839443, 235.743791600159, false, 1, 374
1752135839463, 235.743791600159, false, 1, 375
1752135839483, 235.743791600159, false, 1, 376
1752135839504, 235.743791600159, false, 1, 377
1752135839524, 235.743791600159, false, 1, 378
1752135839543, 235.743791600159, false, 1, 379
1752135839564, 235.743791600159, false, 1, 380
1752135839583, 235.743791600159, false, 1, 381
1752135839604, 235.743791600159, false, 1, 382
1752135839624, 235.743791600159, false, 1, 383
1752135839644, 235.743791600159, false, 1, 384
1752135839663, 235.743791600159, false, 1, 385
1752135839683, 235.743791600159, false, 1, 386
1752135839704, 235.743791600159, false, 1, 387
1752135839723, 235.743791600159, false, 1, 388
1752135839743, 235.743791600159, false, 1, 389
1752135839764, 235.743791600159, false, 1, 390
1752135839784, 235.743791600159, false, 1, 391
1752135839804, 235.743791600159, false, 1, 392
1752135839824, 235.743791600159, false, 1, 393
1752135839843, 235.743791600159, false, 1, 394
1752135839863, 235.743791600159, false, 1, 395
1752135839883, 235.743791600159, false, 1, 396
1752135839903, 235.743791600159, false, 1, 397
1752135839924, 235.743791600159, false, 1, 398
1752135839943, 235.743791600159, false, 1, 399
1752135839964, 235.743791600159, false, 1, 400
1752135839984, 235.743791600159, false, 1, 401
1752135840003, 235.743791600159, false, 1, 402
1752135840022, 235.743791600159, false, 1, 403
1752135840042, 235.743791600159, false, 1, 404
1752135840062, 235.743791600159, false, 1, 405
1752135840083, 235.743791600159, false, 1, 406
1752135840102, 235.743791600159, false, 1, 407
1752135840122, 235.743791600159, false, 1, 408
1752135840142, 235.743791600159, false, 1, 409
